	headline	url	date
74	"
Στην Μύκονο μετά τον χωρισμό της η Κάτια Ταραμπάνκο
"	https://www.protothema.gr/life-style/article/1253538/katia-tarabanko-sti-mukono-meta-ton-horismo-tis/	2022-06-12T11:06:36+03:00
75	"
Τζούντι Γκάρλαντ: 100 χρόνια από τη γέννηση της πιο βασανισμένης σταρ του Χόλιγουντ
"	https://www.protothema.gr/life-style/article/1253530/tzoudi-garlad-100-hronia-apo-ti-gennisi-tis-pio-vasanismenis-star-tou-holigoud/	2022-06-12T10:32:00+03:00
76	"
Ο Ντέιβιντ Μπέκαμ δίνει «στεγνά» τη Βικτόρια: «Εγώ είμαι πιο καθαρός από εκείνη»
"	https://www.protothema.gr/life-style/article/1253520/o-deivid-bekam-dinei-stegna-ti-viktoria-ego-eimai-pio-katharos-apo-ekeini/	2022-06-12T09:59:00+03:00
77	"
Ελεάνα Βραχάλη: «Όταν έμαθα ότι έχω σκλήρυνση κατά πλάκας τα περίμενα όλα, ακόμα και το τέλος»
"	https://www.protothema.gr/life-style/article/1253511/eleana-vrahali-otan-ematha-oti-eho-sklirunsi-kata-plakas-ta-perimena-ola-akoma-kai-to-telos/	2022-06-12T09:31:34+03:00
78	"
Η Μπρίτνεϊ Σπίαρς ήταν «νευρική» και έπαθε «κρίση πανικού» πριν τον γάμο
"	https://www.protothema.gr/life-style/article/1253398/i-britnei-spiars-itan-neuriki-kai-epathe-krisi-panikou-prin-ton-gamo-i-pio-theamatiki-mera/	2022-06-12T09:27:00+03:00
79	"
Επιχείρηση να πέσουν οι τόνοι από την Ταϊβάν - Καλεί την Κίνα σε διάλογο 
"	https://www.protothema.gr/world/article/1253504/epiheirisi-na-pesoun-oi-tonoi-apo-tin-taivan-kalei-tin-kina-se-dialogo/	2022-06-12T09:08:00+03:00
80	"
Ελεωνόρα Ζουγανέλη: «Ένιωσα ένοχη, πραγματικά δεν ήθελα καθόλου να προκαλέσω»
"	https://www.protothema.gr/life-style/article/1253503/eleonora-zouganeli-eniosa-enohi-pragmatika-den-ithela-katholou-na-prokaleso/	2022-06-12T09:07:12+03:00
81	"
Kαύσιμα: Ελλάδα κάντο όπως η Γερμανία ...
"	https://www.newsauto.gr/news/ellada-kanto-opos-i-germania-sta-kafsima/	2022-06-12T09:06:00+03:00
82	"
Πληθωρισμός, όπως 1994: Πόσο θα κρατήσουν οι αυξήσεις σε τρόφιμα και ενέργεια (πίνακες + vid)
"	https://www.newmoney.gr/roh/palmos-oikonomias/oikonomia/plithorismos-opos-1994-poso-tha-kratisoun-i-afxisis-se-trofima-ke-energia-pinakes-vid/	2022-06-12T08:48:00+03:00
83	"
Υποχωρεί σταδιακά η κακοκαιρία «GENESIS» - Ποιες περιοχές θα «χτυπήσει» σήμερα
"	https://www.protothema.gr/greece/article/1253494/kairos-kakokairia-genesis-poies-periohes-tha-htupisei-simera-pou-exasthenoun-ta-fainomena/	2022-06-12T08:47:00+03:00
84	"
«Δάκρυσα όταν είδα το βίντεο», λέει Βρετανίδα που πάσχει από το σύνδρομο που «χτύπησε» τον Μπίμπερ
"	https://www.protothema.gr/life-style/article/1253492/dakrusa-otan-eida-to-video-leei-vretanida-pou-pashei-apo-to-sundromo-pou-htupise-ton-biber/	2022-06-12T08:44:00+03:00
85	"
Το live του Snik που δεν έγινε για ένα… εισιτήριο Business Class - Η αιχμή του τράπερ και η απάντηση του μαγαζιού
"	https://www.protothema.gr/life-style/article/1253486/o-snik-akurose-live-giati-den-tou-ekleisan-eisitirio-business-class-leei-to-magazi/	2022-06-12T08:26:00+03:00
86	"
Δεν έχει τέλος ο κατήφορος της τουρκικής λίρας - 268% η αύξηση στην τιμή της βενζίνης από πέρσι
"	https://www.protothema.gr/world/article/1253482/tourkia-268-i-auxisi-stin-timi-tis-venzinis-se-sugrisi-me-perusi-den-ehei-telos-o-katiforos-tis-tourkikis-liras/	2022-06-12T08:18:00+03:00
87	"
Ράλι ανόδου στην τιμή της βενζίνης στις ΗΠΑ: Η μέση τιμή ξεπέρασε τα... 5 δολάρια το γαλόνι
"	https://www.protothema.gr/world/article/1253334/rali-anodou-stin-timi-tis-venzinis-stis-ipa-i-mesi-timi-xeperase-ta-5-dolaria-to-galoni/	2022-06-11T12:35:00+03:00
88	"
Οδηγούμε στη Γαλλία το νέο Citroen C5 Aircross
"	https://www.protothema.gr/car-and-speed/article/1252872/odigoume-sti-gallia-to-neo-citroen-c5-aircross/	2022-06-10T10:00:00+03:00
89	"
Ώρα για επιστροφή στο γραφείο: Καλή η τηλεργασία, αλλά... τελείωσε
"	https://www.protothema.gr/world/article/1251713/epistrofi-sto-grafeio-i-tilergasia-einai-kali-alla-tora-teleiose/	2022-06-10T07:43:32+03:00
90	"
Νέο ρεκόρ στην τιμή της βενζίνης στη Βρετανία - Πάνω από 100 λίρες απαιτούνται για να γεμίσει το μέσο αυτοκίνητο
"	https://www.protothema.gr/world/article/1252603/vretania-neo-rekor-stin-timi-tis-venzinis-pano-apo-100-lires-apaitoudai-gia-na-gemisei-to-meso-autokinito/	2022-06-09T14:28:11+03:00
91	"
Αντιδρούν οι κατασκευαστές αυτοκινήτων στο STΟP των diesel και βενζίνης
"	https://www.newsauto.gr/news/antidroun-i-kataskevastes-aftokiniton-stin-apofasi-tis-ee/	2022-06-09T13:30:30+03:00
92	"
Ευρώπη: Στοπ το 2035 στα αυτοκίνητα με κινητήρες βενζίνης και diesel - Στην Ελλάδα νωρίτερα...
"	https://www.newsauto.gr/news/evropi-stop-to-2035-sta-aftokinita-me-kinitires-venzinis-ke-diesel/	2022-06-09T12:13:13+03:00
